apex_deg,AR,Kp,Kv,alpha_deg,CL,CD,L_over_D
45,1.657,2.265,3.142,0,0.0,0.06,0.0
45,1.657,2.265,3.142,2,0.0828,0.0629,1.316
45,1.657,2.265,3.142,4,0.1724,0.0721,2.393
45,1.657,2.265,3.142,6,0.2683,0.0882,3.042
45,1.657,2.265,3.142,8,0.3693,0.1119,3.3
45,1.657,2.265,3.142,10,0.4747,0.1437,3.303
45,1.657,2.265,3.142,12,0.5833,0.184,3.17
45,1.657,2.265,3.142,14,0.6942,0.2331,2.978
45,1.657,2.265,3.142,16,0.8062,0.2912,2.769
45,1.657,2.265,3.142,18,0.9183,0.3584,2.562
45,1.657,2.265,3.142,20,1.0292,0.4346,2.368
45,1.657,2.265,3.142,22,1.138,0.5198,2.189
45,1.657,2.265,3.142,24,1.2435,0.6136,2.026
45,1.657,2.265,3.142,26,1.3446,0.7158,1.878
45,1.657,2.265,3.142,28,1.4402,0.8258,1.744
45,1.657,2.265,3.142,30,1.5294,0.943,1.622
45,1.657,2.265,3.142,32,1.6112,1.0668,1.51
45,1.657,2.265,3.142,34,1.6848,1.1964,1.408
45,1.657,2.265,3.142,36,1.7493,1.3309,1.314
45,1.657,2.265,3.142,38,1.8041,1.4695,1.228
45,1.657,2.265,3.142,40,1.8485,1.6111,1.147
45,1.657,2.265,3.142,42,1.8821,1.7547,1.073
45,1.657,2.265,3.142,44,1.9045,1.8991,1.003
45,1.657,2.265,3.142,46,1.9153,2.0434,0.937
45,1.657,2.265,3.142,48,1.9144,2.1862,0.876
45,1.657,2.265,3.142,50,1.9018,2.3264,0.817
45,1.657,2.265,3.142,52,1.8774,2.463,0.762
45,1.657,2.265,3.142,54,1.8416,2.5947,0.71
45,1.657,2.265,3.142,56,1.7945,2.7204,0.66
45,1.657,2.265,3.142,58,1.7366,2.8391,0.612
45,1.657,2.265,3.142,60,1.6684,2.9497,0.566
45,1.657,2.265,3.142,62,1.5905,3.0513,0.521
45,1.657,2.265,3.142,64,1.5037,3.143,0.478
45,1.657,2.265,3.142,66,1.4086,3.2239,0.437
45,1.657,2.265,3.142,68,1.3064,3.2933,0.397
45,1.657,2.265,3.142,70,1.1977,3.3507,0.357
45,1.657,2.265,3.142,72,1.0838,3.3955,0.319
45,1.657,2.265,3.142,74,0.9655,3.4272,0.282
45,1.657,2.265,3.142,76,0.8441,3.4456,0.245
45,1.657,2.265,3.142,78,0.7207,3.4506,0.209
45,1.657,2.265,3.142,80,0.5963,3.4419,0.173
45,1.657,2.265,3.142,82,0.4722,3.4198,0.138
45,1.657,2.265,3.142,84,0.3494,3.3844,0.103
45,1.657,2.265,3.142,86,0.2291,3.3359,0.069
45,1.657,2.265,3.142,88,0.1123,3.2748,0.034
45,1.657,2.265,3.142,90,0.0,1.26,0.0
60,2.309,2.87,3.142,0,0.0,0.06,0.0
60,2.309,2.87,3.142,2,0.1039,0.0636,1.633
60,2.309,2.87,3.142,4,0.2145,0.075,2.86
60,2.309,2.87,3.142,6,0.3309,0.0948,3.491
60,2.309,2.87,3.142,8,0.452,0.1235,3.659
60,2.309,2.87,3.142,10,0.5767,0.1617,3.567
60,2.309,2.87,3.142,12,0.7038,0.2096,3.358
60,2.309,2.87,3.142,14,0.8322,0.2675,3.111
60,2.309,2.87,3.142,16,0.9605,0.3354,2.864
60,2.309,2.87,3.142,18,1.0876,0.4134,2.631
60,2.309,2.87,3.142,20,1.2122,0.5012,2.419
60,2.309,2.87,3.142,22,1.3332,0.5986,2.227
60,2.309,2.87,3.142,24,1.4492,0.7052,2.055
60,2.309,2.87,3.142,26,1.5591,0.8204,1.9
60,2.309,2.87,3.142,28,1.662,0.9437,1.761
60,2.309,2.87,3.142,30,1.7566,1.0742,1.635
60,2.309,2.87,3.142,32,1.8421,1.2111,1.521
60,2.309,2.87,3.142,34,1.9176,1.3535,1.417
60,2.309,2.87,3.142,36,1.9824,1.5003,1.321
60,2.309,2.87,3.142,38,2.0357,1.6505,1.233
60,2.309,2.87,3.142,40,2.0771,1.8029,1.152
60,2.309,2.87,3.142,42,2.1061,1.9563,1.077
60,2.309,2.87,3.142,44,2.1223,2.1095,1.006
60,2.309,2.87,3.142,46,2.1256,2.2612,0.94
60,2.309,2.87,3.142,48,2.116,2.4101,0.878
60,2.309,2.87,3.142,50,2.0936,2.555,0.819
60,2.309,2.87,3.142,52,2.0584,2.6946,0.764
60,2.309,2.87,3.142,54,2.0109,2.8278,0.711
60,2.309,2.87,3.142,56,1.9516,2.9533,0.661
60,2.309,2.87,3.142,58,1.8809,3.07,0.613
60,2.309,2.87,3.142,60,1.7996,3.177,0.566
60,2.309,2.87,3.142,62,1.7084,3.2731,0.522
60,2.309,2.87,3.142,64,1.6083,3.3575,0.479
60,2.309,2.87,3.142,66,1.5002,3.4296,0.437
60,2.309,2.87,3.142,68,1.3852,3.4885,0.397
60,2.309,2.87,3.142,70,1.2643,3.5337,0.358
60,2.309,2.87,3.142,72,1.1388,3.5648,0.319
60,2.309,2.87,3.142,74,1.0098,3.5816,0.282
60,2.309,2.87,3.142,76,0.8785,3.5837,0.245
60,2.309,2.87,3.142,78,0.7463,3.5711,0.209
60,2.309,2.87,3.142,80,0.6143,3.544,0.173
60,2.309,2.87,3.142,82,0.4838,3.5025,0.138
60,2.309,2.87,3.142,84,0.356,3.447,0.103
60,2.309,2.87,3.142,86,0.232,3.378,0.069
60,2.309,2.87,3.142,88,0.113,3.2959,0.034
60,2.309,2.87,3.142,90,0.0,1.26,0.0
