twa,tws,bestSpeed,bestSheetAngle,deltaAngle,bestCamberUse,bestBrailWind
40,4,1.6697,4,4.00,0,0
50,4,1.9857,4,4.00,0,0
60,4,2.2272,8,8.00,0,0
70,4,2.4024,8,8.00,0,0
80,4,2.5310,12,12.00,0,0
90,4,2.6100,16,16.00,0,0
100,4,2.6439,20,20.00,0,0
110,4,2.6350,24,24.00,0,0
120,4,2.5906,32,32.00,0,0
130,4,2.5095,40,40.00,0,0
140,4,2.4005,52,52.00,0,0
150,4,2.2680,64,64.00,0,0
160,4,2.1252,80,80.00,0,0
170,4,1.9820,40,40.00,0,0
40,6,2.2515,4,4.00,0,0
50,6,2.5708,4,4.00,0,0
60,6,2.8248,8,8.00,0,0
70,6,3.0427,12,12.00,0,0
80,6,3.2259,16,16.00,0,0
90,6,3.3719,20,20.00,0,0
100,6,3.5007,32,32.00,0,0
110,6,3.6044,28,28.00,0,0
120,6,3.5217,36,36.00,0,0
130,6,3.3818,44,44.00,0,0
140,6,3.2164,56,56.00,0,0
150,6,3.0391,68,68.00,0,0
160,6,2.8642,84,84.00,0,0
170,6,2.6906,40,40.00,0,0
40,10,3.2880,4,4.00,0,0
50,10,4.1866,4,4.00,0,0
60,10,5.2114,12,12.00,0,0
70,10,6.4445,12,12.00,0,0
80,10,6.7436,16,16.00,0,0
90,10,7.1433,16,16.00,0,0
100,10,7.2373,28,28.00,0,0
110,10,7.3834,28,28.00,0,0
120,10,7.1131,28,28.00,0,0
130,10,6.6710,36,36.00,0,0
140,10,6.4347,48,48.00,0,0
150,10,5.8632,64,64.00,0,0
160,10,5.2261,84,84.00,0,0
170,10,4.5109,44,44.00,0,0
