twa,tws,bestSpeed,bestSheetAngle,deltaAngle,bestCamberUse,bestBrailWind
40,4,1.6258,8,8.00,0,0
50,4,1.9869,8,8.00,0,0
60,4,2.2424,8,8.00,0,0
70,4,2.4233,12,12.00,0,0
80,4,2.5508,12,12.00,0,0
90,4,2.6372,16,16.00,0,0
100,4,2.6781,20,20.00,0,0
110,4,2.6755,24,24.00,0,0
120,4,2.6344,32,32.00,0,0
130,4,2.5545,40,40.00,0,0
140,4,2.4418,48,48.00,0,0
150,4,2.3080,64,64.00,0,0
160,4,2.1584,80,80.00,0,0
170,4,2.0043,36,36.00,0,0
40,6,2.2577,8,8.00,0,0
50,6,2.6112,8,8.00,0,0
60,6,2.8874,8,8.00,0,0
70,6,3.1287,12,12.00,0,0
80,6,3.3397,16,16.00,0,0
90,6,3.5116,20,20.00,0,0
100,6,3.6218,24,24.00,0,0
110,6,3.6433,28,28.00,0,0
120,6,3.5694,36,36.00,0,0
130,6,3.4383,44,44.00,0,0
140,6,3.2688,56,56.00,0,0
150,6,3.0925,68,68.00,0,0
160,6,2.9094,80,80.00,0,0
170,6,2.7271,36,36.00,0,0
40,10,3.3063,8,8.00,0,0
50,10,3.9827,8,8.00,0,0
60,10,5.4344,12,12.00,0,0
70,10,6.2327,16,16.00,0,0
80,10,6.9554,16,16.00,0,0
90,10,7.3761,16,16.00,0,0
100,10,7.4767,16,16.00,0,0
110,10,7.5173,28,28.00,0,0
120,10,7.3455,28,28.00,0,0
130,10,6.9563,36,36.00,0,0
140,10,6.5292,48,48.00,0,0
150,10,5.9866,60,60.00,0,0
160,10,5.3754,80,80.00,0,0
170,10,4.6531,36,36.00,0,0
