twa,tws,bestSpeed,bestSheetAngle,deltaAngle,bestCamberUse,bestBrailWind
40,4,1.6296,8,8.00,0,0
50,4,1.9635,8,8.00,0,0
60,4,2.2085,8,8.00,0,0
70,4,2.3823,12,12.00,0,0
80,4,2.5068,12,12.00,0,0
90,4,2.5887,16,16.00,0,0
100,4,2.6279,20,20.00,0,0
110,4,2.6260,28,28.00,0,0
120,4,2.5876,32,32.00,0,0
130,4,2.5124,40,40.00,0,0
140,4,2.4069,52,52.00,0,0
150,4,2.2783,64,64.00,0,0
160,4,2.1362,80,80.00,0,0
170,4,1.9884,40,40.00,0,0
40,6,2.2464,8,8.00,0,0
50,6,2.5740,8,8.00,0,0
60,6,2.8351,8,8.00,0,0
70,6,3.0543,12,12.00,0,0
80,6,3.2446,16,16.00,0,0
90,6,3.3983,20,20.00,0,0
100,6,3.4916,24,24.00,0,0
110,6,3.5428,32,32.00,0,0
120,6,3.4967,36,36.00,0,0
130,6,3.3792,44,44.00,0,0
140,6,3.2277,56,56.00,0,0
150,6,3.0578,68,68.00,0,0
160,6,2.8814,84,84.00,0,0
170,6,2.7049,40,40.00,0,0
40,10,3.2499,8,8.00,0,0
50,10,4.0110,8,8.00,0,0
60,10,5.2467,8,8.00,0,0
70,10,6.2381,12,12.00,0,0
80,10,6.6927,12,12.00,0,0
90,10,7.0447,16,16.00,0,0
100,10,7.1205,20,20.00,0,0
110,10,7.2924,28,28.00,0,0
120,10,7.0965,28,28.00,0,0
130,10,6.7324,36,36.00,0,0
140,10,6.4100,48,48.00,0,0
150,10,5.8938,64,64.00,0,0
160,10,5.2942,80,80.00,0,0
170,10,4.5957,40,40.00,0,0
