twa,tws,bestSpeed,bestSheetAngle,deltaAngle,bestCamberUse,bestBrailWind
40,4,1.6273,8,8.00,0,0
50,4,1.9714,8,8.00,0,0
60,4,2.2205,8,8.00,0,0
70,4,2.3978,12,12.00,0,0
80,4,2.5231,12,12.00,0,0
90,4,2.6082,16,16.00,0,0
100,4,2.6491,20,20.00,0,0
110,4,2.6482,28,28.00,0,0
120,4,2.6103,32,32.00,0,0
130,4,2.5349,40,40.00,0,0
140,4,2.4267,52,52.00,0,0
150,4,2.2961,64,64.00,0,0
160,4,2.1505,80,80.00,0,0
170,4,1.9992,40,40.00,0,0
40,6,2.2745,8,8.00,0,0
50,6,2.6129,8,8.00,0,0
60,6,2.8821,8,8.00,0,0
70,6,3.1105,12,12.00,0,0
80,6,3.3067,16,16.00,0,0
90,6,3.4732,20,20.00,0,0
100,6,3.5799,24,24.00,0,0
110,6,3.6003,28,28.00,0,0
120,6,3.5322,36,36.00,0,0
130,6,3.4065,44,44.00,0,0
140,6,3.2488,56,56.00,0,0
150,6,3.0770,68,68.00,0,0
160,6,2.8987,84,84.00,0,0
170,6,2.7216,40,40.00,0,0
40,10,3.3103,8,8.00,0,0
50,10,4.0254,8,8.00,0,0
60,10,5.3123,12,12.00,0,0
70,10,6.3315,12,12.00,0,0
80,10,6.8038,16,16.00,0,0
90,10,7.2083,16,16.00,0,0
100,10,7.3219,20,20.00,0,0
110,10,7.3895,28,28.00,0,0
120,10,7.2223,28,28.00,0,0
130,10,6.8644,36,36.00,0,0
140,10,6.4615,48,48.00,0,0
150,10,5.9370,64,64.00,0,0
160,10,5.3361,80,80.00,0,0
170,10,4.6287,40,40.00,0,0
