t,TWA,AWA,u,v,r,phi,p,delta,deltaMax,alpha,CL,CD,amaLoad,brailLee,brailWind,crewPos,crewPosX,shuntPhase
0.00000,,,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,0.00000,,,,,none
0.00417,-79.99999,-74.43317,1.00527,0.00623,-0.00012,-0.00073,-0.35207,0.00000,30.00000,-105.56683,-0.74214,1.06874,0.00007,0.00000,0.00000,0.00000,0.00000,none
0.00833,-79.99994,-74.39528,1.01054,0.01243,-0.00023,-0.00293,-0.70285,0.00000,30.00000,-105.60472,-0.74394,1.06864,0.00029,0.00000,0.00000,0.00000,0.00000,none
0.01250,-79.99988,-74.35734,1.01582,0.01861,-0.00035,-0.00659,-1.05226,0.00000,30.00000,-105.64266,-0.74575,1.06854,0.00066,0.00000,0.00000,0.00000,0.00000,none
0.01667,-79.99978,-74.31936,1.02111,0.02477,-0.00046,-0.01170,-1.40021,0.00000,30.00000,-105.68064,-0.74755,1.06844,0.00117,0.00000,0.00000,0.00000,0.00000,none
0.02083,-79.99966,-74.28134,1.02639,0.03089,-0.00057,-0.01826,-1.74662,0.00000,30.00000,-105.71866,-0.74936,1.06835,0.00183,0.00000,0.00000,0.00000,0.00000,none
0.02500,-79.99951,-74.24328,1.03168,0.03699,-0.00068,-0.02625,-2.09141,0.00000,30.00000,-105.75672,-0.75117,1.06825,0.00263,0.00000,0.00000,0.00000,0.00000,none
0.02917,-79.99933,-74.20518,1.03698,0.04306,-0.00079,-0.03568,-2.43450,0.00000,30.00000,-105.79482,-0.75298,1.06815,0.00357,0.00000,0.00000,0.00000,0.00000,none
0.03333,-79.99913,-74.16704,1.04228,0.04910,-0.00090,-0.04654,-2.77580,0.00000,30.00000,-105.83296,-0.75479,1.06805,0.00465,0.00000,0.00000,0.00000,0.00000,none
0.03750,-79.99890,-74.12888,1.04758,0.05512,-0.00101,-0.05881,-3.11524,0.00000,30.00000,-105.87112,-0.75661,1.06796,0.00588,0.00000,0.00000,0.00000,0.00000,none
