t,TWA,AWA,u,v,r,phi,p,delta,deltaMax,alpha,CL,CD,amaLoad,brailLee,brailWind,crewPos,crewPosX,shuntPhase
0.00000,,,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,0.00000,,,,,none
0.00417,89.99997,80.51427,1.00139,-0.00676,0.00022,0.00010,0.04572,0.37500,60.00000,99.86073,0.46490,1.08271,0.00001,0.00000,0.00000,0.20000,0.00000,none
0.00833,89.99990,80.48987,1.00288,-0.01344,0.00039,0.00038,0.09131,0.75000,60.00000,100.26013,0.48459,1.08180,0.00003,0.00000,0.00000,0.20000,0.00000,none
0.01250,89.99979,80.46452,1.00449,-0.02003,0.00052,0.00086,0.13676,1.12500,60.00000,100.66048,0.50433,1.08088,0.00007,0.00000,0.00000,0.20000,0.00000,none
0.01667,89.99966,80.43823,1.00620,-0.02654,0.00061,0.00152,0.18208,1.50000,60.00000,101.06177,0.52411,1.07995,0.00013,0.00000,0.00000,0.20000,0.00000,none
0.02083,89.99950,80.41100,1.00802,-0.03296,0.00066,0.00237,0.22727,1.87500,60.00000,101.46400,0.54394,1.07902,0.00020,0.00000,0.00000,0.20000,0.00000,none
0.02500,89.99935,80.38286,1.00994,-0.03929,0.00067,0.00341,0.27234,2.25000,60.00000,101.86714,0.56382,1.07809,0.00028,0.00000,0.00000,0.20000,0.00000,none
0.02917,89.99919,80.35381,1.01197,-0.04554,0.00064,0.00464,0.31729,2.62500,60.00000,102.27119,0.58356,1.07711,0.00039,0.00000,0.00000,0.20000,0.00000,none
0.03333,89.99904,80.32389,1.01411,-0.05169,0.00058,0.00606,0.36211,3.00000,60.00000,102.67611,0.60326,1.07612,0.00050,0.00000,0.00000,0.20000,0.00000,none
0.03750,89.99892,80.29309,1.01635,-0.05776,0.00048,0.00766,0.40680,3.37500,60.00000,103.08191,0.62300,1.07512,0.00064,0.00000,0.00000,0.20000,0.00000,none
0.04167,89.99882,80.26144,1.01869,-0.06373,0.00034,0.00945,0.45138,3.75000,60.00000,103.48856,0.64279,1.07413,0.00079,0.00000,0.00000,0.20000,0.00000,none
0.04583,89.99876,80.22894,1.02114,-0.06962,0.00018,0.01142,0.49584,4.12500,60.00000,103.89606,0.66261,1.07315,0.00095,0.00000,0.00000,0.20000,0.00000,none
0.05000,89.99874,80.19561,1.02369,-0.07541,-0.00002,0.01358,0.54019,4.50000,60.00000,104.30439,0.68214,1.07208,0.00113,0.00000,0.00000,0.20000,0.00000,none
0.05417,89.99877,80.16145,1.02634,-0.08111,-0.00025,0.01592,0.58442,4.87500,60.00000,104.71355,0.70158,1.07098,0.00133,0.00000,0.00000,0.20000,0.00000,none
0.05833,89.99886,80.12650,1.02909,-0.08672,-0.00051,0.01845,0.62853,5.25000,60.00000,105.12350,0.72107,1.06989,0.00154,0.00000,0.00000,0.20000,0.00000,none
0.06250,89.99901,80.09075,1.03195,-0.09224,-0.00080,0.02116,0.67252,5.62500,60.00000,105.53425,0.74059,1.06882,0.00176,0.00000,0.00000,0.20000,0.00000,none
0.06667,89.99924,80.05420,1.03491,-0.09766,-0.00111,0.02406,0.71641,6.00000,60.00000,105.94580,0.76016,1.06777,0.00200,0.00000,0.00000,0.20000,0.00000,none
0.07083,89.99955,80.01686,1.03797,-0.10299,-0.00146,0.02713,0.76019,6.37500,60.00000,106.35814,0.77912,1.06652,0.00226,0.00000,0.00000,0.20000,0.00000,none
0.07500,89.99994,79.97877,1.04112,-0.10823,-0.00182,0.03039,0.80385,6.75000,60.00000,106.77123,0.79803,1.06526,0.00253,0.00000,0.00000,0.20000,0.00000,none
0.07917,90.00042,79.93994,1.04438,-0.11337,-0.00222,0.03383,0.84738,7.12500,60.00000,107.18506,0.81697,1.06401,0.00282,0.00000,0.00000,0.20000,0.00000,none
0.08333,90.00100,79.90036,1.04774,-0.11841,-0.00263,0.03745,0.89080,7.50000,60.00000,107.59964,0.83594,1.06278,0.00312,0.00000,0.00000,0.20000,0.00000,none
0.08750,90.00168,79.86004,1.05119,-0.12337,-0.00307,0.04125,0.93410,7.87500,60.00000,108.01496,0.85492,1.06157,0.00344,0.00000,0.00000,0.20000,0.00000,none
0.09167,90.00247,79.81898,1.05475,-0.12823,-0.00354,0.04524,0.97729,8.25000,60.00000,108.43102,0.87301,1.06004,0.00377,0.00000,0.00000,0.20000,0.00000,none
0.09583,90.00337,79.77722,1.05840,-0.13299,-0.00402,0.04940,1.02034,8.62500,60.00000,108.84778,0.89113,1.05853,0.00412,0.00000,0.00000,0.20000,0.00000,none
0.10000,90.00439,79.73478,1.06215,-0.13766,-0.00452,0.05374,1.06325,9.00000,60.00000,109.26522,0.90928,1.05704,0.00448,0.00000,0.00000,0.20000,0.00000,none
0.10417,90.00553,79.69165,1.06600,-0.14224,-0.00504,0.05826,1.10603,9.37500,60.00000,109.68335,0.92746,1.05557,0.00485,0.00000,0.00000,0.20000,0.00000,none
0.10833,90.00680,79.64782,1.06994,-0.14672,-0.00558,0.06296,1.14868,9.75000,60.00000,110.10218,0.94540,1.05402,0.00525,0.00000,0.00000,0.20000,0.00000,none
0.11250,90.00820,79.60331,1.07398,-0.15112,-0.00614,0.06783,1.19119,10.12500,60.00000,110.52169,0.96248,1.05214,0.00565,0.00000,0.00000,0.20000,0.00000,none
0.11667,90.00973,79.55818,1.07811,-0.15541,-0.00671,0.07288,1.23354,10.50000,60.00000,110.94182,0.97960,1.05029,0.00607,0.00000,0.00000,0.20000,0.00000,none
0.12083,90.01140,79.51241,1.08234,-0.15961,-0.00730,0.07811,1.27572,10.87500,60.00000,111.36259,0.99674,1.04846,0.00651,0.00000,0.00000,0.20000,0.00000,none
0.12500,90.01321,79.46604,1.08665,-0.16372,-0.00790,0.08351,1.31774,11.25000,60.00000,111.78396,1.01390,1.04665,0.00696,0.00000,0.00000,0.20000,0.00000,none
0.12917,90.01517,79.41910,1.09105,-0.16774,-0.00851,0.08909,1.35961,11.62500,60.00000,112.20590,1.03042,1.04459,0.00742,0.00000,0.00000,0.20000,0.00000,none
0.13333,90.01728,79.37163,1.09554,-0.17166,-0.00914,0.09484,1.40129,12.00000,60.00000,112.62837,1.04625,1.04225,0.00790,0.00000,0.00000,0.20000,0.00000,none
0.13750,90.01953,79.32368,1.10010,-0.17549,-0.00978,0.10077,1.44276,12.37500,60.00000,113.05132,1.06211,1.03992,0.00840,0.00000,0.00000,0.20000,0.00000,none
0.14167,90.02194,79.27523,1.10475,-0.17923,-0.01042,0.10687,1.48403,12.75000,60.00000,113.47477,1.07798,1.03763,0.00891,0.00000,0.00000,0.20000,0.00000,none
0.14583,90.02451,79.22630,1.10947,-0.18288,-0.01108,0.11313,1.52509,13.12500,60.00000,113.89870,1.09387,1.03537,0.00943,0.00000,0.00000,0.20000,0.00000,none
0.15000,90.02724,79.17688,1.11428,-0.18644,-0.01175,0.11957,1.56597,13.50000,60.00000,114.32312,1.10857,1.03257,0.00996,0.00000,0.00000,0.20000,0.00000,none
0.15417,90.03012,79.12705,1.11916,-0.18991,-0.01242,0.12618,1.60658,13.87500,60.00000,114.74795,1.12290,1.02962,0.01052,0.00000,0.00000,0.20000,0.00000,none
0.15833,90.03317,79.07683,1.12411,-0.19328,-0.01310,0.13296,1.64692,14.25000,60.00000,115.17317,1.13724,1.02670,0.01108,0.00000,0.00000,0.20000,0.00000,none
0.16250,90.03638,79.02620,1.12913,-0.19657,-0.01379,0.13991,1.68699,14.62500,60.00000,115.59880,1.15160,1.02380,0.01166,0.00000,0.00000,0.20000,0.00000,none
0.16667,90.03975,78.97518,1.13422,-0.19976,-0.01448,0.14702,1.72681,15.00000,60.00000,116.02482,1.16587,1.02090,0.01225,0.00000,0.00000,0.20000,0.00000,none
0.17083,90.04329,78.92377,1.13939,-0.20288,-0.01518,0.15430,1.76636,15.37500,60.00000,116.45123,1.17852,1.01721,0.01286,0.00000,0.00000,0.20000,0.00000,none
0.17500,90.04700,78.87207,1.14461,-0.20590,-0.01588,0.16174,1.80556,15.75000,60.00000,116.87793,1.19118,1.01355,0.01348,0.00000,0.00000,0.20000,0.00000,none
0.17917,90.05088,78.82005,1.14990,-0.20883,-0.01659,0.16934,1.84442,16.12500,60.00000,117.30495,1.20385,1.00991,0.01411,0.00000,0.00000,0.20000,0.00000,none
0.18333,90.05492,78.76774,1.15526,-0.21167,-0.01729,0.17711,1.88294,16.50000,60.00000,117.73226,1.21652,1.00632,0.01476,0.00000,0.00000,0.20000,0.00000,none
0.18750,90.05913,78.71511,1.16068,-0.21443,-0.01800,0.18503,1.92113,16.87500,60.00000,118.15989,1.22850,1.00239,0.01542,0.00000,0.00000,0.20000,0.00000,none
0.19167,90.06352,78.66222,1.16615,-0.21711,-0.01871,0.19312,1.95895,17.25000,60.00000,118.58778,1.23930,0.99787,0.01609,0.00000,0.00000,0.20000,0.00000,none
0.19583,90.06807,78.60913,1.17168,-0.21969,-0.01941,0.20136,1.99633,17.62500,60.00000,119.01587,1.25010,0.99338,0.01678,0.00000,0.00000,0.20000,0.00000,none
0.20000,90.07278,78.55582,1.17727,-0.22220,-0.02012,0.20975,2.03327,18.00000,60.00000,119.44418,1.26091,0.98893,0.01748,0.00000,0.00000,0.20000,0.00000,none
0.20417,90.07767,78.50231,1.18291,-0.22461,-0.02083,0.21830,2.06980,18.37500,60.00000,119.87269,1.27172,0.98452,0.01819,0.00000,0.00000,0.20000,0.00000,none
0.20833,90.08273,78.44857,1.18860,-0.22695,-0.02153,0.22700,2.10591,18.75000,60.00000,120.30143,1.28111,0.97937,0.01892,0.00000,0.00000,0.20000,0.00000,none
0.21250,90.08795,78.39470,1.19434,-0.22920,-0.02223,0.23585,2.14151,19.12500,60.00000,120.73030,1.28989,0.97392,0.01965,0.00000,0.00000,0.20000,0.00000,none
