t,TWA,AWA,u,v,r,phi,p,delta,deltaMax,alpha,CL,CD,amaLoad,brailLee,brailWind,crewPos,crewPosX,shuntPhase
0.00000,,,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,0.00000,,,,,none
0.00417,50.00001,40.61414,1.00061,-0.00128,-0.00009,-0.00007,-0.03302,0.37500,25.00000,139.76086,1.27994,0.57430,0.00001,0.00000,0.00000,0.19958,0.00000,none
0.00833,50.00004,40.60748,1.00122,-0.00255,-0.00017,-0.00027,-0.06572,0.75000,25.00000,140.14252,1.27312,0.56480,0.00003,0.00000,0.00000,0.19833,0.00000,none
0.01250,50.00009,40.60091,1.00184,-0.00381,-0.00025,-0.00062,-0.09810,1.12500,25.00000,140.52409,1.26560,0.55504,0.00006,0.00000,0.00000,0.19708,0.00000,none
0.01667,50.00016,40.59444,1.00247,-0.00506,-0.00034,-0.00109,-0.13020,1.50000,25.00000,140.90556,1.25808,0.54541,0.00011,0.00000,0.00000,0.19583,0.00000,none
0.02083,50.00025,40.58807,1.00311,-0.00629,-0.00042,-0.00170,-0.16199,1.87500,25.00000,141.28693,1.25056,0.53592,0.00017,0.00000,0.00000,0.19458,0.00000,none
0.02500,50.00036,40.58181,1.00375,-0.00750,-0.00050,-0.00244,-0.19348,2.25000,25.00000,141.66819,1.24304,0.52655,0.00024,0.00000,0.00000,0.19333,0.00000,none
0.02917,50.00049,40.57564,1.00440,-0.00871,-0.00058,-0.00331,-0.22465,2.62500,25.00000,142.04936,1.23539,0.51725,0.00033,0.00000,0.00000,0.19208,0.00000,none
0.03333,50.00064,40.56959,1.00505,-0.00990,-0.00066,-0.00431,-0.25550,3.00000,25.00000,142.43041,1.22679,0.50758,0.00043,0.00000,0.00000,0.19083,0.00000,none
0.03750,50.00080,40.56365,1.00571,-0.01107,-0.00074,-0.00544,-0.28606,3.37500,25.00000,142.81135,1.21819,0.49805,0.00054,0.00000,0.00000,0.18958,0.00000,none
0.04167,50.00099,40.55782,1.00638,-0.01224,-0.00081,-0.00670,-0.31633,3.75000,25.00000,143.19218,1.20960,0.48866,0.00067,0.00000,0.00000,0.18833,0.00000,none
0.04583,50.00119,40.55212,1.00705,-0.01339,-0.00089,-0.00808,-0.34630,4.12500,25.00000,143.57288,1.20101,0.47940,0.00081,0.00000,0.00000,0.18708,0.00000,none
0.05000,50.00142,40.54654,1.00772,-0.01452,-0.00097,-0.00958,-0.37595,4.50000,25.00000,143.95346,1.19242,0.47029,0.00096,0.00000,0.00000,0.18583,0.00000,none
0.05417,50.00165,40.54108,1.00840,-0.01564,-0.00104,-0.01121,-0.40529,4.87500,25.00000,144.33392,1.18297,0.46088,0.00112,0.00000,0.00000,0.18458,0.00000,none
0.05833,50.00191,40.53576,1.00908,-0.01674,-0.00111,-0.01296,-0.43434,5.25000,25.00000,144.71424,1.17340,0.45155,0.00130,0.00000,0.00000,0.18333,0.00000,none
0.06250,50.00219,40.53057,1.00977,-0.01784,-0.00119,-0.01483,-0.46309,5.62500,25.00000,145.09443,1.16384,0.44237,0.00148,0.00000,0.00000,0.18208,0.00000,none
0.06667,50.00248,40.52551,1.01045,-0.01891,-0.00126,-0.01682,-0.49155,6.00000,25.00000,145.47449,1.15428,0.43334,0.00168,0.00000,0.00000,0.18083,0.00000,none
0.07083,50.00279,40.52060,1.01114,-0.01997,-0.00133,-0.01892,-0.51969,6.37500,25.00000,145.85440,1.14473,0.42445,0.00189,0.00000,0.00000,0.17958,0.00000,none
0.07500,50.00311,40.51582,1.01184,-0.02102,-0.00140,-0.02115,-0.54752,6.75000,25.00000,146.23418,1.13462,0.41544,0.00211,0.00000,0.00000,0.17833,0.00000,none
0.07917,50.00345,40.51118,1.01253,-0.02205,-0.00146,-0.02349,-0.57505,7.12500,25.00000,146.61382,1.12417,0.40640,0.00235,0.00000,0.00000,0.17708,0.00000,none
0.08333,50.00381,40.50670,1.01323,-0.02307,-0.00153,-0.02594,-0.60229,7.50000,25.00000,146.99330,1.11372,0.39752,0.00259,0.00000,0.00000,0.17583,0.00000,none
0.08750,50.00418,40.50238,1.01392,-0.02407,-0.00160,-0.02850,-0.62922,7.87500,25.00000,147.37262,1.10327,0.38878,0.00285,0.00000,0.00000,0.17458,0.00000,none
0.09167,50.00457,40.49820,1.01462,-0.02506,-0.00166,-0.03118,-0.65585,8.25000,25.00000,147.75180,1.09283,0.38020,0.00312,0.00000,0.00000,0.17333,0.00000,none
