t,TWA,AWA,u,v,r,phi,p,delta,deltaMax,alpha,CL,CD,amaLoad,brailLee,brailWind,crewPos,crewPosX,shuntPhase
0.00000,,,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,0.00000,,,,,none
0.00417,90.00070,82.85276,1.00023,-0.02405,-0.00582,0.00097,0.46375,0.37500,60.00000,97.52224,0.44633,3.04049,0.00008,0.00000,0.00000,0.00000,0.00000,none
0.00833,90.00277,82.83125,1.00062,-0.04745,-0.01150,0.00386,0.92475,0.75000,60.00000,97.91875,0.47101,3.04590,0.00032,0.00000,0.00000,0.00000,0.00000,none
0.01250,90.00617,82.81057,1.00114,-0.07022,-0.01702,0.00867,1.38291,1.12500,60.00000,98.31443,0.49591,3.05217,0.00072,0.00000,0.00000,0.00000,0.00000,none
0.01667,90.01088,82.79081,1.00177,-0.09237,-0.02240,0.01538,1.83841,1.50000,60.00000,98.70919,0.52083,3.05798,0.00128,0.00000,0.00000,0.00000,0.00000,none
0.02083,90.01685,82.77207,1.00250,-0.11392,-0.02763,0.02399,2.29123,1.87500,60.00000,99.10293,0.54568,3.06300,0.00200,0.00000,0.00000,0.00000,0.00000,none
0.02500,90.02406,82.75444,1.00331,-0.13487,-0.03272,0.03447,2.74127,2.25000,60.00000,99.49556,0.57046,3.06730,0.00287,0.00000,0.00000,0.00000,0.00000,none
0.02917,90.03246,82.73800,1.00418,-0.15523,-0.03768,0.04683,3.18848,2.62500,60.00000,99.88700,0.59517,3.07096,0.00390,0.00000,0.00000,0.00000,0.00000,none
0.03333,90.04203,82.72282,1.00510,-0.17502,-0.04250,0.06104,3.63280,3.00000,60.00000,100.27718,0.61989,3.07453,0.00509,0.00000,0.00000,0.00000,0.00000,none
0.03750,90.05274,82.70896,1.00607,-0.19423,-0.04718,0.07710,4.07427,3.37500,60.00000,100.66604,0.64457,3.07773,0.00642,0.00000,0.00000,0.00000,0.00000,none
0.04167,90.06455,82.69647,1.00705,-0.21288,-0.05173,0.09499,4.51286,3.75000,60.00000,101.05353,0.66916,3.08041,0.00792,0.00000,0.00000,0.00000,0.00000,none
0.04583,90.07743,82.68541,1.00806,-0.23098,-0.05615,0.11470,4.94853,4.12500,60.00000,101.43959,0.69367,3.08262,0.00956,0.00000,0.00000,0.00000,0.00000,none
0.05000,90.09135,82.67580,1.00907,-0.24853,-0.06045,0.13622,5.38127,4.50000,60.00000,101.82420,0.71808,3.08440,0.01135,0.00000,0.00000,0.00000,0.00000,none
0.05417,90.10628,82.66768,1.01008,-0.26554,-0.06461,0.15954,5.81104,4.87500,60.00000,102.20732,0.74233,3.08553,0.01330,0.00000,0.00000,0.00000,0.00000,none
0.05833,90.12218,82.66108,1.01108,-0.28203,-0.06865,0.18465,6.23779,5.25000,60.00000,102.58892,0.76643,3.08611,0.01539,0.00000,0.00000,0.00000,0.00000,none
0.06250,90.13904,82.65517,1.01215,-0.29829,-0.07255,0.21152,6.66146,5.62500,60.00000,102.96983,0.79049,3.08638,0.01763,0.00000,0.00000,0.00000,0.00000,none
0.06667,90.15681,82.64867,1.01339,-0.31474,-0.07627,0.24015,7.08200,6.00000,60.00000,103.35133,0.81459,3.08636,0.02001,0.00000,0.00000,0.00000,0.00000,none
0.07083,90.17544,82.64159,1.01482,-0.33134,-0.07982,0.27053,7.49933,6.37500,60.00000,103.73341,0.83873,3.08607,0.02254,0.00000,0.00000,0.00000,0.00000,none
0.07500,90.19491,82.63399,1.01641,-0.34805,-0.08321,0.30264,7.91337,6.75000,60.00000,104.11601,0.86280,3.08519,0.02522,0.00000,0.00000,0.00000,0.00000,none
0.07917,90.21516,82.62592,1.01816,-0.36483,-0.08644,0.33647,8.32403,7.12500,60.00000,104.49908,0.88668,3.08333,0.02804,0.00000,0.00000,0.00000,0.00000,none
0.08333,90.23617,82.61741,1.02007,-0.38162,-0.08952,0.37201,8.73115,7.50000,60.00000,104.88259,0.91060,3.08129,0.03100,0.00000,0.00000,0.00000,0.00000,none
0.08750,90.25789,82.60849,1.02213,-0.39842,-0.09245,0.40923,9.13469,7.87500,60.00000,105.26651,0.93453,3.07907,0.03410,0.00000,0.00000,0.00000,0.00000,none
0.09167,90.28029,82.59917,1.02433,-0.41518,-0.09523,0.44812,9.53463,8.25000,60.00000,105.65083,0.95850,3.07668,0.03734,0.00000,0.00000,0.00000,0.00000,none
0.09583,90.30334,82.58947,1.02668,-0.43190,-0.09787,0.48868,9.93094,8.62500,60.00000,106.03553,0.98243,3.07397,0.04072,0.00000,0.00000,0.00000,0.00000,none
0.10000,90.32701,82.57939,1.02916,-0.44856,-0.10037,0.53088,10.32356,9.00000,60.00000,106.42061,1.00590,3.06962,0.04424,0.00000,0.00000,0.00000,0.00000,none
0.10417,90.35126,82.56897,1.03178,-0.46513,-0.10274,0.57470,10.71229,9.37500,60.00000,106.80603,1.02938,3.06520,0.04789,0.00000,0.00000,0.00000,0.00000,none
0.10833,90.37605,82.55821,1.03453,-0.48160,-0.10497,0.62014,11.09711,9.75000,60.00000,107.19179,1.05289,3.06069,0.05168,0.00000,0.00000,0.00000,0.00000,none
0.11250,90.40136,82.54710,1.03740,-0.49796,-0.10707,0.66717,11.47803,10.12500,60.00000,107.57790,1.07641,3.05609,0.05560,0.00000,0.00000,0.00000,0.00000,none
0.11667,90.42716,82.53563,1.04040,-0.51420,-0.10904,0.71578,11.85503,10.50000,60.00000,107.96437,1.09996,3.05141,0.05965,0.00000,0.00000,0.00000,0.00000,none
