t,TWA,AWA,u,v,r,phi,p,delta,deltaMax,alpha,CL,CD,amaLoad,brailLee,brailWind,crewPos,crewPosX,shuntPhase
0.00000,,,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,0.00000,,,,,none
0.00417,60.00006,55.23570,1.00593,-0.00737,-0.00051,0.00031,0.15068,0.37500,45.00000,125.13930,1.35876,0.90846,0.00003,0.00000,0.00000,0.35000,0.00000,none
0.00833,60.00024,55.18634,1.01193,-0.01469,-0.00101,0.00125,0.30015,0.75000,45.00000,125.56366,1.36317,0.90118,0.00010,0.00000,0.00000,0.35000,0.00000,none
0.01250,60.00054,55.13692,1.01800,-0.02197,-0.00150,0.00281,0.44842,1.12500,45.00000,125.98808,1.36758,0.89397,0.00023,0.00000,0.00000,0.35000,0.00000,none
0.01667,60.00096,55.08744,1.02413,-0.02919,-0.00199,0.00499,0.59548,1.50000,45.00000,126.41256,1.36982,0.88554,0.00042,0.00000,0.00000,0.35000,0.00000,none
0.02083,60.00149,55.03800,1.03032,-0.03634,-0.00247,0.00777,0.74092,1.87500,45.00000,126.83700,1.37200,0.87713,0.00065,0.00000,0.00000,0.35000,0.00000,none
0.02500,60.00214,54.98860,1.03657,-0.04344,-0.00293,0.01116,0.88474,2.25000,45.00000,127.26140,1.37418,0.86880,0.00093,0.00000,0.00000,0.35000,0.00000,none
0.02917,60.00289,54.93923,1.04287,-0.05047,-0.00339,0.01514,1.02696,2.62500,45.00000,127.68577,1.37635,0.86054,0.00126,0.00000,0.00000,0.35000,0.00000,none
0.03333,60.00375,54.88991,1.04922,-0.05744,-0.00383,0.01971,1.16759,3.00000,45.00000,128.11009,1.37799,0.85203,0.00164,0.00000,0.00000,0.35000,0.00000,none
0.03750,60.00472,54.84066,1.05562,-0.06434,-0.00427,0.02487,1.30653,3.37500,45.00000,128.53434,1.37808,0.84268,0.00207,0.00000,0.00000,0.35000,0.00000,none
0.04167,60.00579,54.79154,1.06207,-0.07116,-0.00469,0.03060,1.44348,3.75000,45.00000,128.95846,1.37817,0.83342,0.00255,0.00000,0.00000,0.35000,0.00000,none
0.04583,60.00696,54.74254,1.06856,-0.07791,-0.00511,0.03689,1.57847,4.12500,45.00000,129.38246,1.37827,0.82424,0.00307,0.00000,0.00000,0.35000,0.00000,none
0.05000,60.00823,54.69368,1.07509,-0.08458,-0.00551,0.04375,1.71153,4.50000,45.00000,129.80632,1.37836,0.81515,0.00365,0.00000,0.00000,0.35000,0.00000,none
0.05417,60.00959,54.64494,1.08166,-0.09118,-0.00591,0.05115,1.84266,4.87500,45.00000,130.23006,1.37758,0.80563,0.00426,0.00000,0.00000,0.35000,0.00000,none
0.05833,60.01105,54.59636,1.08827,-0.09769,-0.00629,0.05910,1.97170,5.25000,45.00000,130.65364,1.37608,0.79578,0.00493,0.00000,0.00000,0.35000,0.00000,none
0.06250,60.01259,54.54797,1.09491,-0.10412,-0.00666,0.06758,2.09853,5.62500,45.00000,131.07703,1.37458,0.78602,0.00563,0.00000,0.00000,0.35000,0.00000,none
0.06667,60.01422,54.49977,1.10159,-0.11047,-0.00702,0.07658,2.22318,6.00000,45.00000,131.50023,1.37307,0.77637,0.00638,0.00000,0.00000,0.35000,0.00000,none
0.07083,60.01594,54.45175,1.10830,-0.11673,-0.00736,0.08610,2.34567,6.37500,45.00000,131.92325,1.37157,0.76682,0.00718,0.00000,0.00000,0.35000,0.00000,none
0.07500,60.01774,54.40390,1.11505,-0.12291,-0.00770,0.09613,2.46603,6.75000,45.00000,132.34610,1.36889,0.75668,0.00801,0.00000,0.00000,0.35000,0.00000,none
0.07917,60.01961,54.35629,1.12182,-0.12900,-0.00802,0.10665,2.58401,7.12500,45.00000,132.76871,1.36594,0.74649,0.00889,0.00000,0.00000,0.35000,0.00000,none
